file,packet_len,inter_arrival_time
sample_encrypted_traffic.pcapng,90,0
sample_encrypted_traffic.pcapng,90,0.000280
sample_encrypted_traffic.pcapng,329,0.011118
sample_encrypted_traffic.pcapng,275,0.000749
sample_encrypted_traffic.pcapng,66,0.000455
sample_encrypted_traffic.pcapng,66,0.137518
sample_encrypted_traffic.pcapng,54,0.000094
sample_encrypted_traffic.pcapng,1414,0.000976
sample_encrypted_traffic.pcapng,561,0.000000
sample_encrypted_traffic.pcapng,54,0.100930
sample_encrypted_traffic.pcapng,153,0.000000
sample_encrypted_traffic.pcapng,767,0.001371
sample_encrypted_traffic.pcapng,954,0.034555
sample_encrypted_traffic.pcapng,1286,0.001530
sample_encrypted_traffic.pcapng,1292,0.000059
sample_encrypted_traffic.pcapng,1292,0.000039
sample_encrypted_traffic.pcapng,664,0.000041
sample_encrypted_traffic.pcapng,1414,0.018586
sample_encrypted_traffic.pcapng,1414,0.000618
sample_encrypted_traffic.pcapng,54,0.000031
sample_encrypted_traffic.pcapng,1414,0.000417
sample_encrypted_traffic.pcapng,1414,0.000612
sample_encrypted_traffic.pcapng,54,0.000026
sample_encrypted_traffic.pcapng,685,0.001064
sample_encrypted_traffic.pcapng,128,0.000238
sample_encrypted_traffic.pcapng,887,0.00019
sample_encrypted_traffic.pcapng,71,0.002794
sample_encrypted_traffic.pcapng,71,0.000547
sample_encrypted_traffic.pcapng,73,0.000231
sample_encrypted_traffic.pcapng,67,0.000490
sample_encrypted_traffic.pcapng,67,0.000174
sample_encrypted_traffic.pcapng,60,0.141401
sample_encrypted_traffic.pcapng,157,0.000000
sample_encrypted_traffic.pcapng,450,0.000000
sample_encrypted_traffic.pcapng,715,0.000000
sample_encrypted_traffic.pcapng,54,0.000157
sample_encrypted_traffic.pcapng,183,0.000344
sample_encrypted_traffic.pcapng,663,0.000000
sample_encrypted_traffic.pcapng,174,0.000000
sample_encrypted_traffic.pcapng,77,0.000266
sample_encrypted_traffic.pcapng,77,0.000168
sample_encrypted_traffic.pcapng,1288,0.007408
sample_encrypted_traffic.pcapng,741,0.000092
sample_encrypted_traffic.pcapng,66,0.008880
sample_encrypted_traffic.pcapng,67,0.008047
sample_encrypted_traffic.pcapng,69,0.000374
sample_encrypted_traffic.pcapng,74,0.025378
sample_encrypted_traffic.pcapng,132,0.009340
sample_encrypted_traffic.pcapng,63,0.000000
sample_encrypted_traffic.pcapng,77,0.000367
sample_encrypted_traffic.pcapng,72,0.112971
sample_encrypted_traffic.pcapng,66,0.006931
sample_encrypted_traffic.pcapng,71,0.136852
sample_encrypted_traffic.pcapng,67,0.012084
sample_encrypted_traffic.pcapng,69,0.119198
sample_encrypted_traffic.pcapng,119,0.267821
sample_encrypted_traffic.pcapng,74,0.035301
sample_encrypted_traffic.pcapng,55,0.222334
sample_encrypted_traffic.pcapng,55,0.309919
sample_encrypted_traffic.pcapng,55,0.000063
sample_encrypted_traffic.pcapng,66,0.007081
sample_encrypted_traffic.pcapng,66,0.039551
sample_encrypted_traffic.pcapng,66,0.000000
